,log_return_1m,log_return_5m,log_return_60m,efficiency_ratio_h1,momentum_strength_10_zsarctan_w20,atr_14,atr_14_zsarctan_w20,vol_ratio_deviation,realized_vol_60_zsarctan_w20,h1_swing_range_position,swing_point_range,high_swing_slope_h1,low_swing_slope_h1,h1_trend_slope_zsarctan,h1_swing_range_position_zsarctan_w20,swing_point_range_zsarctan_w20,high_swing_slope_h1_zsarctan,low_swing_slope_h1_zsarctan,high_swing_slope_m1_zsarctan_w20,low_swing_slope_m1_zsarctan_w20,combo_geometric,bb_position,hour_sin,hour_cos,dow_sin,dow_cos
swing_point_range,0.0069268716848422465,0.004128123692826231,-0.10731942669876025,0.0930699982034795,0.009928812516580681,0.6665285762696567,-0.08599504511492807,-0.030242782795127075,0.04424130829852963,-0.005923410769494184,1.0,0.1259494181749468,-0.2435094533153363,0.017154573069978835,0.01665473625825085,0.3087634446638768,0.10419372589678372,-0.11826596854983305,0.003675832989809575,0.005298312754236257,0.0366598306808191,-0.00896535502109913,0.21937481663091069,-0.043479588661168134,-0.04663092644082598,0.014697502101860228
high_swing_slope_h1,0.006377623657614164,0.022835922766377772,0.2789503582115577,0.0009402640589971145,-0.02819723405581904,0.024562246873013054,0.005863584014144862,0.024356338397415817,0.08070833677749319,0.04646025396415179,0.1259494181749468,1.0,0.08486128525820563,0.13131864909952234,-0.05931808925422216,0.0976949095115094,0.24348362988544622,-0.008334818922936374,-0.020126355713683427,-0.01903834537227528,-0.14061117321500669,0.03850158662185158,-0.0007542578017699677,0.013023146948936182,0.011094425522183059,0.004743559768975296
low_swing_slope_h1,0.0018065428773848603,0.02316662191103814,0.2596794293193485,-0.010282009628285564,-0.02220170713473868,-0.11894994446804857,0.0038493113348296625,-0.01708972255137843,-0.06535462695151353,0.030594231707945143,-0.2435094533153363,0.08486128525820563,1.0,0.0660916068913496,-0.04200892187600666,-0.07048792518356062,0.009163606989239114,0.19511988396447014,-0.014732344951958362,-0.01704581107403727,-0.09808362984614406,0.03422015257948395,0.014065758269775517,-0.01916491798908005,0.007861111927047628,-0.010602589308052227
h1_trend_slope_zsarctan,0.03213435621337221,0.06493161021837066,0.12614069203725103,-0.0021268952996412686,0.021115932434437414,-0.01445681965806212,-0.014283939297911689,-0.015941819819784306,-0.020611181053787325,0.023775969739035126,0.017154573069978835,0.13131864909952234,0.0660916068913496,1.0,0.022341912099127812,0.06550382527020311,0.6668359608722022,0.4409580213085124,0.01385840666428092,0.012156981732619454,-0.02647600885457819,0.08580275196979102,-0.005553494099581862,-0.0008261025786178032,0.0008276864262441916,-0.0011570858288732085
h1_swing_range_position_zsarctan_w20,0.2114793486815866,0.3636340490259164,0.06682588432277416,-0.003545743675089415,0.36979765924719765,0.002140185076796701,-0.022913469145226826,-0.013762538039331678,-0.013693628121813881,0.344148656473097,0.01665473625825085,-0.05931808925422216,-0.04200892187600666,0.022341912099127812,1.0,-0.0025021992887713823,-0.09915404255138627,-0.089615832506013,0.18877822298210936,0.18935985428306637,0.21862623613411594,0.44791449511690895,0.0013817217059416556,-0.0015757672822641561,0.0006815310549464302,-0.0016008718015514897
swing_point_range_zsarctan_w20,0.003100166172342201,0.0010890572842523242,-0.029921763382998304,0.20763009919418135,0.0058561080431822855,0.1048864685025701,0.10745815917240405,0.14685393734710975,0.21109352449807173,-0.0013653910534124438,0.3087634446638768,0.0976949095115094,-0.07048792518356062,0.06550382527020311,-0.0025021992887713823,1.0,0.34524515989528337,-0.36213338805356,-0.0003389673492132756,0.007658603940287826,0.003441355952070189,-0.007421597216382647,0.004914189539148969,0.0278380506090597,1.2200815756274955e-05,-0.0017517508202311175
high_swing_slope_h1_zsarctan,0.005321710055341002,0.03504150514652619,0.1802690946959299,0.09026192391111787,-0.031551643871465127,0.025338733255567625,0.039258762359543425,0.05331977292078542,0.06647705073134177,0.019503206663348118,0.10419372589678372,0.24348362988544622,0.009163606989239114,0.6668359608722022,-0.09915404255138627,0.34524515989528337,1.0,0.025291564022153348,-0.013293809742454858,-0.012715807104709886,-0.18098511693501965,0.07608302299571047,-0.0007409772350433025,0.00043471901441891406,-0.0013381761311906774,-0.0009471057816723536
low_swing_slope_h1_zsarctan,0.005314220502378133,0.040503762429702,0.18149376461944766,-0.08576243767013797,-0.026613573341807722,-0.05080822924048438,-0.07577329607749848,-0.09461199267053236,-0.13246355329018686,0.01742151061617386,-0.11826596854983305,-0.008334818922936374,0.19511988396447014,0.4409580213085124,-0.089615832506013,-0.36213338805356,0.025291564022153348,1.0,-0.010492991122239342,-0.012246029427848398,-0.16594878925495696,0.07857322922160297,0.0019594585350886833,0.0013181081665855033,0.0013180202185769825,-0.0008234469221713857
high_swing_slope_m1_zsarctan_w20,0.02973755144180321,0.29346558664750205,-0.0012126498433252637,-0.003023205941700625,0.476984258471555,-0.01500669123743946,-0.02398785590827154,-0.024820533051844243,-0.001785538322020094,0.011085830375460862,0.003675832989809575,-0.020126355713683427,-0.014732344951958362,0.01385840666428092,0.18877822298210936,-0.0003389673492132756,-0.013293809742454858,-0.010492991122239342,1.0,0.29135400294739894,0.02980001240723677,0.3059189308617167,-0.002207410423003937,-0.001444977056503011,8.06593727895287e-05,0.00021808090245629426
low_swing_slope_m1_zsarctan_w20,0.029906755736237148,0.29585183137113646,-0.003572307455095729,-0.003314908428489116,0.4760888010660697,0.023440810173963156,0.006819789001123708,0.04373073894524753,0.0032772190526626803,0.01223472785955751,0.005298312754236257,-0.01903834537227528,-0.01704581107403727,0.012156981732619454,0.18935985428306637,0.007658603940287826,-0.012715807104709886,-0.012246029427848398,0.29135400294739894,1.0,0.03196617434329073,0.2999269890280833,0.00013369325198187235,0.0014719899836904658,0.0004322507288547365,0.00041108175633211086
