bar_index,timestamp,close,high,low,volume,log_return_1m,log_return_5m,log_return_60m,efficiency_ratio_h1,momentum_strength_10_zsarctan_w20,atr_14,atr_14_zsarctan_w20,vol_ratio_deviation,realized_vol_60_zsarctan_w20,h1_swing_range_position,swing_point_range,high_swing_slope_h1,low_swing_slope_h1,h1_trend_slope_zsarctan,h1_swing_range_position_zsarctan_w20,swing_point_range_zsarctan_w20,high_swing_slope_h1_zsarctan,low_swing_slope_h1_zsarctan,high_swing_slope_m1_zsarctan_w20,low_swing_slope_m1_zsarctan_w20,combo_geometric,bb_position,hour_sin,hour_cos,dow_sin,dow_cos,pretrain_action
1333902,2025-08-06 19:50:00,196.700000,196.712000,196.650000,127,0.000254,0.000315,0.000203,0.051680,0.190262,0.028643,0.220913,0.379900,0.079592,0.910448,0.134000,-0.118182,-0.092405,0.101668,0.111880,-0.323831,0.101668,0.000000,-0.303194,-0.007033,-0.190342,0.575038,-0.965926,0.258819,-0.669131,-0.743145,0
1333903,2025-08-06 19:51:00,196.656000,196.704000,196.652000,125,-0.000224,-0.000163,-0.000036,0.008589,0.025445,0.030929,0.256064,0.417926,0.102905,0.582090,0.134000,-0.118182,-0.092405,0.096400,0.049113,-0.309401,0.096400,0.000000,-0.307959,-0.020070,-0.123270,0.046139,-0.965926,0.258819,-0.669131,-0.743145,0
1333904,2025-08-06 19:52:00,196.659000,196.673000,196.650000,101,0.000015,-0.000031,-0.000025,0.006120,0.057136,0.029857,0.210684,0.415007,0.096694,0.604478,0.134000,-0.118182,-0.092405,0.091120,0.050081,-0.294617,0.091120,0.000000,-0.312686,-0.033090,-0.121469,0.074840,-0.965926,0.258819,-0.669131,-0.743145,0
1333905,2025-08-06 19:53:00,196.632000,196.663000,196.624000,124,-0.000137,0.000005,-0.000285,0.068293,-0.054555,0.031143,0.220652,0.451144,0.091479,0.402985,0.134000,-0.118182,-0.092405,0.085826,0.011338,-0.279483,0.085826,0.000000,-0.317375,0.016185,-0.056292,-0.234828,-0.965926,0.258819,-0.669131,-0.743145,0
1333906,2025-08-06 19:54:00,196.650000,196.660000,196.632000,97,0.000092,0.000000,-0.000163,0.038462,0.027761,0.031929,0.220739,0.392164,0.090471,0.537313,0.134000,-0.118182,-0.092405,0.080521,0.034895,-0.264003,0.080521,0.000000,-0.300428,0.028650,-0.095981,-0.006771,-0.965926,0.258819,-0.669131,-0.743145,0
1333907,2025-08-06 19:55:00,196.624000,196.653000,196.624000,119,-0.000132,-0.000386,-0.000356,0.082742,-0.138414,0.032357,0.212704,0.400005,0.091011,0.343284,0.134000,-0.118182,-0.092405,0.075205,-0.001267,-0.248184,0.075205,0.000000,-0.283008,0.041093,0.017730,-0.294000,-0.965926,0.258819,-0.669131,-0.743145,0
1333908,2025-08-06 19:56:00,196.632000,196.644000,196.617000,98,0.000041,-0.000122,-0.000305,0.070423,-0.321866,0.033571,0.223084,0.387274,0.086100,0.402985,0.134000,-0.118182,-0.092405,0.069878,0.008559,-0.232036,0.069878,0.000000,-0.265121,0.053504,-0.044565,-0.185300,-0.965926,0.258819,-0.669131,-0.743145,0
1333909,2025-08-06 19:57:00,196.602000,196.630000,196.594000,152,-0.000153,-0.000290,-0.000325,0.074766,-0.332432,0.035071,0.239573,0.418906,0.082794,0.179104,0.134000,-0.118182,-0.092405,0.064541,-0.032657,-0.215569,0.064541,0.000000,-0.246779,-0.290842,0.083903,-0.469556,-0.965926,0.258819,-0.669131,-0.743145,0
1333910,2025-08-06 19:58:00,196.622000,196.626000,196.607000,93,0.000102,-0.000051,-0.000224,0.050228,-0.031517,0.036214,0.246683,0.357442,0.082870,0.328358,0.134000,-0.118182,-0.092405,0.059195,-0.004655,-0.198796,0.059195,0.000000,-0.227995,-0.278208,0.030422,-0.231531,-0.965926,0.258819,-0.669131,-0.743145,0
1333911,2025-08-06 19:59:00,196.630000,196.630000,196.596000,151,0.000041,-0.000102,-0.000142,0.031963,-0.075743,0.037071,0.246936,0.351416,0.077120,0.388060,0.134000,-0.118182,-0.092405,0.053840,0.005592,-0.181734,0.053840,0.000000,-0.208787,-0.265336,-0.031878,-0.130996,-0.965926,0.258819,-0.669131,-0.743145,0
