entry_idx,exit_idx,direction,entry_price,exit_price,raw_pnl_pips,pnl_pips,touches_high,touches_low,touches_total,bars_held,params
20243,21243,short,154.438,154.372,6.599999999997408,2.599999999997408,3,115,118,1000,"Slow (4H zones, 8 pips)"
21528,22528,short,153.798,153.443,35.49999999999898,31.499999999998977,0,9,9,1000,"Slow (4H zones, 8 pips)"
22892,23892,long,153.577,153.791,21.399999999999864,17.399999999999864,45,0,45,1000,"Slow (4H zones, 8 pips)"
24324,25324,long,154.068,154.118,4.999999999998295,0.9999999999982947,41,0,41,1000,"Slow (4H zones, 8 pips)"
25772,26772,long,154.3,154.574,27.40000000000009,23.40000000000009,14,66,80,1000,"Slow (4H zones, 8 pips)"
27220,28220,short,154.464,154.827,-36.299999999999955,-40.299999999999955,69,43,112,1000,"Slow (4H zones, 8 pips)"
28594,29594,long,155.122,154.76,-36.20000000000232,-40.20000000000232,91,11,102,1000,"Slow (4H zones, 8 pips)"
29975,30975,long,154.914,155.166,25.200000000000955,21.200000000000955,23,0,23,1000,"Slow (4H zones, 8 pips)"
31510,32510,short,154.974,155.193,-21.90000000000225,-25.90000000000225,206,129,335,1000,"Slow (4H zones, 8 pips)"
32821,33821,long,155.406,156.43,102.40000000000009,98.40000000000009,68,3,71,1000,"Slow (4H zones, 8 pips)"
34322,35322,short,156.106,156.046,6.000000000000227,2.0000000000002274,1,167,168,1000,"Slow (4H zones, 8 pips)"
35748,36748,short,155.72,156.07,-34.99999999999943,-38.99999999999943,74,53,127,1000,"Slow (4H zones, 8 pips)"
37181,38181,long,156.302,156.448,14.6000000000015,10.6000000000015,154,2,156,1000,"Slow (4H zones, 8 pips)"
38483,39483,short,156.31,156.382,-7.200000000000273,-11.200000000000273,42,14,56,1000,"Slow (4H zones, 8 pips)"
39866,40866,long,156.602,157.144,54.20000000000016,50.20000000000016,121,0,121,1000,"Slow (4H zones, 8 pips)"
41229,42229,short,156.997,156.674,32.30000000000075,28.30000000000075,0,123,123,1000,"Slow (4H zones, 8 pips)"
42666,43666,short,156.18,156.356,-17.599999999998772,-21.599999999998772,0,51,51,1000,"Slow (4H zones, 8 pips)"
43997,44997,short,156.021,156.538,-51.70000000000243,-55.70000000000243,0,52,52,1000,"Slow (4H zones, 8 pips)"
45553,46553,long,156.834,156.786,-4.800000000000182,-8.800000000000182,208,0,208,1000,"Slow (4H zones, 8 pips)"
48491,49491,long,157.115,156.496,-61.89999999999998,-65.89999999999998,19,9,28,1000,"Slow (4H zones, 8 pips)"
50101,51101,short,156.342,155.842,50.0,46.0,185,30,215,1000,"Slow (4H zones, 8 pips)"
51573,52573,long,156.122,156.421,29.899999999997817,25.899999999997817,154,0,154,1000,"Slow (4H zones, 8 pips)"
53170,54170,short,156.187,154.322,186.5000000000009,182.5000000000009,22,44,66,1000,"Slow (4H zones, 8 pips)"
54870,55870,long,154.827,154.661,-16.59999999999968,-20.59999999999968,5,57,62,1000,"Slow (4H zones, 8 pips)"
56442,57442,short,154.036,154.596,-56.00000000000023,-60.00000000000023,0,0,0,1000,"Slow (4H zones, 8 pips)"
57711,58711,short,154.002,153.912,9.000000000000341,5.000000000000341,0,25,25,1000,"Slow (4H zones, 8 pips)"
58986,59986,short,153.19,153.155,3.499999999999659,-0.5000000000003411,0,27,27,1000,"Slow (4H zones, 8 pips)"
60246,61246,long,153.936,155.07,113.39999999999861,109.39999999999861,14,0,14,1000,"Slow (4H zones, 8 pips)"
61677,62677,short,154.645,154.082,56.30000000000166,52.30000000000166,0,100,100,1000,"Slow (4H zones, 8 pips)"
62955,63955,short,153.373,151.72,165.29999999999916,161.29999999999916,0,12,12,1000,"Slow (4H zones, 8 pips)"
64204,65204,short,151.592,151.366,22.59999999999991,18.59999999999991,0,6,6,1000,"Slow (4H zones, 8 pips)"
65555,66555,short,151.107,151.554,-44.70000000000027,-48.70000000000027,2,86,88,1000,"Slow (4H zones, 8 pips)"
67061,68061,long,152.118,152.741,62.30000000000189,58.30000000000189,70,0,70,1000,"Slow (4H zones, 8 pips)"
68499,69499,short,152.372,152.22,15.200000000001523,11.200000000001523,142,4,146,1000,"Slow (4H zones, 8 pips)"
69810,70810,long,152.669,153.266,59.699999999998,55.699999999998,71,0,71,1000,"Slow (4H zones, 8 pips)"
71368,72368,long,153.548,153.775,22.700000000000387,18.700000000000387,78,55,133,1000,"Slow (4H zones, 8 pips)"
72636,73636,long,154.488,154.248,-24.00000000000091,-28.00000000000091,28,0,28,1000,"Slow (4H zones, 8 pips)"
74261,75261,long,154.566,156.264,169.80000000000075,165.80000000000075,158,63,221,1000,"Slow (4H zones, 8 pips)"
75597,76597,long,156.413,155.981,-43.20000000000164,-47.20000000000164,82,0,82,1000,"Slow (4H zones, 8 pips)"
76982,77982,long,156.402,157.08,67.80000000000257,63.80000000000257,143,0,143,1000,"Slow (4H zones, 8 pips)"
78646,79646,short,156.706,157.626,-92.00000000000159,-96.00000000000159,0,293,293,1000,"Slow (4H zones, 8 pips)"
79904,80904,long,158.254,160.877,262.3000000000019,258.3000000000019,18,0,18,1000,"Slow (4H zones, 8 pips)"
