entry,exit,direction,hit_tp,hit_sl,pnl_pips,bars_to_exit,rr
155.098,154.89,short,True,False,2080.0000000002683,15,7.898435236440316
155.062,155.06433433,short,False,True,-23.343299999964984,1,73.68281262729926
155.017,155.05033433,short,False,True,-333.3433000000241,4,3.809886084406087
155.134,155.13633432999998,short,False,True,-23.343299999964984,6,79.25186241887452
155.098,155.11133433,short,False,True,-133.34329999992178,3,11.174164731192967
155.211,155.22133433,short,False,True,-103.34329999977854,1,2.612651231388304
155.237,155.192,short,True,False,449.99999999987494,3,4.354418718964864
155.31,155.31833433,short,False,True,-83.34329999996726,1,5.519339886950761
155.317,155.32433433,short,False,True,-73.34329999991951,2,7.226290608693015
155.399,155.40433432999998,short,False,True,-53.34329999982401,1,3.5618343822126004
155.419,155.42833432999998,short,False,True,-93.34329999973079,3,4.178125264494417
